Model	Tumor_Type	ResponseCategory	X.1004	X.1008	X.1156	X.1172	X.1298	X.1323	X.1371	X.1383	X.1407	X.1442	X.1468	X.1499	X.1586	X.1600	X.1631	X.1658	X.1683	X.1725	X.1787	X.1823	X.1828	X.1832	X.1834	X.1835	X.1916	X.1921	X.1934	X.1980	X.1993	X.2017	X.2042	X.2082	X.2088	X.2094	X.2195	X.2344	X.2353	X.2487	X.2524	X.2640	X.2780	X.3029	X.3077	X.3078	X.3201	X.3237	X.3298	X.3450	X.3468	X.3697	X.3843	X.3873	X.4347	X.4567	X.4819	X.4824	X.4888	X.4949	X.5249	X.5355	X.5502	X.5975	X.6047
X-1468	BRCA	SD	0.009744524	0.007293823	0.006091842	0.004542116	0.005745376	0.009290729	0.011751654	0.007978121	0.011649558	0.010482758	0.5	0.005988477	0.00743741	0.00746396	0.00608423	0.00664353	0.010541868	0.007298598	0.007051448	0.005714722	0.007199795	0.007375528	0.007217765	0.008764367	0.013547058	0.015396432	0.004290284	0.00918292	0.007121756	0.009788899	0.005802784	0.005691999	0.011788838	0.005872993	0.010238658	0.015885742	0.009357685	0.005972304	0.007678822	0.011379684	0.01072309	0.006768331	0.006229537	0.006706223	0.014051071	0.005518919	0.006272808	0.008306018	0.009367732	0.006521801	0.005688982	0.008849308	0.007766851	0.010454295	0.005734768	0.004613994	0.006196156	0.009127281	0.009486293	0.00775464	0.011806091	0.006406159	0.011259462
X-1499	NSCLC	PD	0.010593102	0.008664079	0.017928019	0.007541334	0.012263369	0.005162817	0.006238583	0.00524037	0.005233341	0.005344441	0.005988477	0.5	0.011348001	0.010825017	0.005562302	0.005167294	0.006842453	0.011897846	0.006559761	0.013273901	0.006369855	0.011153903	0.009471394	0.005303184	0.005060242	0.005793004	0.010033726	0.006445425	0.007081044	0.005546922	0.01003635	0.009071492	0.006352546	0.009059514	0.010404278	0.006601117	0.007425217	0.010019153	0.010336163	0.005080124	0.006877845	0.0065548	0.004773058	0.004793906	0.005356471	0.005503828	0.008052854	0.006330063	0.006679706	0.010670799	0.006111382	0.007065556	0.009337905	0.005758452	0.018335933	0.005099575	0.006273885	0.0067418	0.00730764	0.005164886	0.005473947	0.007564713	0.007304284
X-1586	NSCLC	SD	0.004715085	0.005664154	0.005408867	0.00483987	0.010374165	0.004944606	0.005528281	0.004766828	0.004587007	0.00856786	0.00743741	0.011348001	0.5	0.011144218	0.005109791	0.00522101	0.009278626	0.014407466	0.006301986	0.00919716	0.007149696	0.010612464	0.008926301	0.004678272	0.004430456	0.008530832	0.008855703	0.004713862	0.016722514	0.006847477	0.01042481	0.010196824	0.007851077	0.005974329	0.010016642	0.00683229	0.008281459	0.004520492	0.004479763	0.005963179	0.015522073	0.014102147	0.007275287	0.007782903	0.01436764	0.011520663	0.004455683	0.005749244	0.00601233	0.006000789	0.015002446	0.00841096	0.005313832	0.005310466	0.012877571	0.004425961	0.006568025	0.005837524	0.008658544	0.008433814	0.007181049	0.008212331	0.013627239
X-1600	BRCA	PD	0.008952776	0.006026209	0.01467546	0.014940814	0.005369265	0.005546311	0.00568799	0.004926196	0.006191028	0.005063048	0.00746396	0.010825017	0.011144218	0.5	0.005389474	0.005314154	0.005382074	0.014724474	0.010488691	0.011502975	0.006122843	0.014261942	0.005140636	0.00653067	0.004658199	0.005813448	0.010635729	0.005340659	0.016203472	0.00870584	0.011219554	0.009844153	0.013095118	0.007826772	0.0056518	0.006249944	0.008682144	0.004699496	0.006062901	0.004989273	0.007096625	0.006545718	0.004697827	0.005905524	0.009758097	0.007373607	0.006364102	0.005911156	0.006499782	0.006281113	0.006189132	0.008794801	0.007137687	0.013814328	0.01660554	0.004715226	0.006615855	0.004745359	0.007290623	0.007937914	0.005615453	0.005254434	0.00688872
X-1631	BRCA	CR	0.008779353	0.008827337	0.01130106	0.00493948	0.010282782	0.009504061	0.009550271	0.008819204	0.006885363	0.006840993	0.00608423	0.005562302	0.005109791	0.005389474	0.5	0.015241425	0.00970914	0.006399268	0.006513473	0.00730299	0.009603475	0.009623541	0.008737024	0.005523941	0.007960894	0.005781978	0.01095059	0.008422611	0.011726074	0.010642579	0.011864847	0.006600602	0.009716934	0.008632721	0.005266607	0.00955297	0.00498125	0.011903712	0.011199445	0.006859925	0.005314315	0.007596801	0.004670898	0.006092684	0.006503214	0.014294859	0.006620499	0.008650226	0.005300523	0.006371299	0.007508264	0.005060482	0.008944284	0.008531161	0.005470522	0.009680825	0.004816095	0.008657521	0.00585058	0.008953202	0.005194586	0.008785454	0.005001807
X-1658	NSCLC	PD	0.004825975	0.005669666	0.008391973	0.007629522	0.006631996	0.006175847	0.00706281	0.005036634	0.007586527	0.007863823	0.00664353	0.005167294	0.00522101	0.005314154	0.015241425	0.5	0.012337098	0.008882088	0.007536705	0.008874165	0.007526559	0.006021031	0.007893774	0.01037628	0.008226829	0.007581529	0.011626157	0.011720158	0.012088927	0.014552245	0.009371351	0.010632828	0.009897908	0.009095425	0.00826625	0.006035239	0.004732096	0.00964507	0.008605695	0.004952019	0.008312813	0.010097758	0.004119097	0.00541277	0.007353106	0.014529215	0.005902352	0.013097017	0.007885041	0.005839802	0.011168916	0.00611362	0.006424599	0.004589838	0.010332082	0.009659964	0.004726814	0.006208342	0.006968473	0.008689835	0.006611404	0.011453145	0.004536144
X-1683	NSCLC	PR	0.00747531	0.004152146	0.005088741	0.008634907	0.008067122	0.007039676	0.005620372	0.006396354	0.007509308	0.009307475	0.010541868	0.006842453	0.009278626	0.005382074	0.00970914	0.012337098	0.5	0.011125336	0.010634805	0.007042364	0.008187003	0.007340521	0.010159075	0.011924515	0.006310346	0.009284288	0.008392865	0.013599758	0.012922529	0.010162042	0.009489913	0.010514871	0.009083999	0.010066732	0.005150857	0.00848299	0.00475084	0.005876418	0.007004747	0.004675586	0.012558255	0.011966193	0.005680146	0.006997776	0.004695695	0.0068875	0.007006882	0.007763738	0.011083114	0.007238034	0.013241853	0.011590296	0.004773861	0.00502249	0.008759309	0.008811204	0.004588921	0.0071835	0.00437917	0.007864295	0.008636369	0.005100983	0.004603418
X-1725	NSCLC	SD	0.005919533	0.004363965	0.004991092	0.004876784	0.008087313	0.006720791	0.006531422	0.007994726	0.005438877	0.00609093	0.007298598	0.011897846	0.014407466	0.014724474	0.006399268	0.008882088	0.011125336	0.5	0.008936877	0.014567976	0.009411619	0.007231625	0.009798344	0.004891999	0.005585065	0.008238555	0.010314335	0.004890693	0.015897061	0.008426721	0.01312301	0.013691515	0.007405985	0.008012482	0.0075698	0.008027047	0.009038321	0.007067719	0.007017286	0.005685448	0.009081986	0.010861979	0.008534388	0.00948989	0.007794802	0.009445805	0.005666352	0.007225434	0.004414511	0.007222694	0.010642103	0.007234241	0.006077299	0.00854805	0.010780359	0.005855349	0.011001514	0.005459636	0.007729723	0.008169283	0.006008787	0.004582897	0.007273374
X-1787	NSCLC	SD	0.010651133	0.004872606	0.006164152	0.012780883	0.00620432	0.014951655	0.006157072	0.00590864	0.005437147	0.008923387	0.007051448	0.006559761	0.006301986	0.010488691	0.006513473	0.007536705	0.010634805	0.008936877	0.5	0.016994337	0.007221084	0.007787571	0.005023531	0.014663707	0.005419832	0.006602527	0.013351128	0.010462155	0.009975536	0.009732764	0.011075727	0.014498663	0.012280734	0.01256568	0.009314077	0.007164914	0.005207499	0.005518859	0.004885586	0.005366059	0.005939584	0.011457841	0.003852691	0.005903223	0.009322077	0.010683907	0.004937967	0.006593892	0.005610603	0.011148061	0.01061283	0.006281463	0.008174415	0.004923956	0.009662826	0.008701433	0.006809536	0.006743688	0.006161448	0.009513006	0.010023369	0.007898196	0.005563549
X-1823	NSCLC	PD	0.009065223	0.004169348	0.005446671	0.007381989	0.012392093	0.013400706	0.004137944	0.004848212	0.004345795	0.005548447	0.005714722	0.013273901	0.00919716	0.011502975	0.00730299	0.008874165	0.007042364	0.014567976	0.016994337	0.5	0.006014197	0.007997171	0.005643088	0.009187509	0.00435788	0.004609617	0.008365053	0.007676681	0.006273122	0.013861816	0.009792064	0.01021864	0.009988841	0.013359792	0.010872297	0.005583499	0.004711241	0.008523264	0.004586039	0.004466415	0.005296046	0.011898233	0.004221437	0.005614722	0.010259782	0.011075305	0.004292002	0.007565838	0.004510365	0.012464561	0.0104652	0.005436357	0.005619999	0.005390284	0.009985159	0.005232198	0.006373671	0.00437678	0.005443656	0.013544372	0.005681049	0.005365192	0.004857818
X-1828	BRCA	SD	0.006447689	0.012076519	0.010496014	0.004152813	0.009827581	0.00579818	0.010425144	0.01268011	0.010223296	0.007437035	0.007199795	0.006369855	0.007149696	0.006122843	0.009603475	0.007526559	0.008187003	0.009411619	0.007221084	0.006014197	0.5	0.010697673	0.006850718	0.007040706	0.012444116	0.006991179	0.007540634	0.004293264	0.006638742	0.011672792	0.006107856	0.005715651	0.006715623	0.00823575	0.007800239	0.006035311	0.006475329	0.013969536	0.007902607	0.013880367	0.005695692	0.008597681	0.008556945	0.009300621	0.007147849	0.009963484	0.015219847	0.011526763	0.009412798	0.006431694	0.007234101	0.012213991	0.011354256	0.005617398	0.00700578	0.006855963	0.007401012	0.006543618	0.008576528	0.00800337	0.005918098	0.007772168	0.009041669
X-1832	BRCA	PD	0.00675331	0.012627493	0.012841846	0.010574002	0.004937881	0.012733892	0.006933688	0.009103156	0.006248412	0.006140063	0.007375528	0.011153903	0.010612464	0.014261942	0.009623541	0.006021031	0.007340521	0.007231625	0.007787571	0.007997171	0.010697673	0.5	0.004501667	0.006031787	0.006299283	0.007599559	0.007920758	0.00574927	0.006364693	0.006120423	0.008483901	0.006260112	0.011801153	0.006068327	0.006883669	0.007452893	0.007582173	0.007369887	0.007003626	0.007211756	0.007762988	0.00721141	0.005586913	0.005823366	0.011518369	0.006012026	0.010248224	0.007135593	0.008233464	0.007299769	0.00994554	0.011015084	0.011244766	0.008563018	0.010531465	0.004408423	0.00718348	0.004698981	0.00703942	0.007315982	0.008153736	0.010487932	0.007821609
X-1834	NSCLC	PD	0.004452596	0.008888151	0.005228363	0.011315929	0.005275469	0.006466766	0.005506788	0.005236787	0.00448873	0.012877996	0.007217765	0.009471394	0.008926301	0.005140636	0.008737024	0.007893774	0.010159075	0.009798344	0.005023531	0.005643088	0.006850718	0.004501667	0.5	0.011900966	0.009355857	0.006311715	0.012259282	0.010411925	0.010455836	0.005264521	0.012682887	0.006919216	0.004876816	0.010321964	0.004693362	0.007417421	0.00523031	0.004520857	0.004567933	0.004541454	0.010611477	0.010100741	0.017457433	0.013714952	0.005584523	0.011142312	0.007294224	0.004227295	0.004926411	0.014004357	0.01209409	0.006532121	0.00510274	0.011009085	0.005433116	0.011557379	0.009238099	0.004156634	0.004226892	0.016320956	0.00500768	0.005165593	0.006465566
X-1835	NSCLC	SD	0.00496184	0.004356971	0.009813889	0.012892167	0.004904808	0.014676922	0.008825436	0.008508071	0.00500542	0.006767326	0.008764367	0.005303184	0.004678272	0.00653067	0.005523941	0.01037628	0.011924515	0.004891999	0.014663707	0.009187509	0.007040706	0.006031787	0.011900966	0.5	0.0102121	0.01035873	0.009016609	0.020064785	0.007722526	0.005626772	0.008592524	0.011708894	0.0102024	0.019308242	0.005143033	0.008247781	0.004422313	0.004434701	0.004131442	0.008062486	0.005149159	0.007186424	0.00562946	0.00483901	0.004648864	0.006302275	0.007103042	0.005888006	0.006338205	0.009704187	0.005790321	0.00807568	0.004844108	0.010027892	0.009114565	0.012648042	0.005997414	0.004532756	0.006692157	0.007960947	0.005748333	0.009635215	0.007794339
